NAME,TYPE,UNIT,ADDR,RAW_ZERO,RAW_FULL,ENG_ZERO,ENG_FULL,ENG_UNITS,FORMAT,COMMENT,CLUSTER,EQUIP,ITEM,TAGGENLINK,LINKED,EDITCODE,HISTORIAN,CUSTOM1,CUSTOM2,CUSTOM3,CUSTOM4,CUSTOM5,CUSTOM6,CUSTOM7,CUSTOM8,WRITEROLES,GUID,CUSTOM,DEADBAND,OID,REF1,REF2
"LW_Sub1_Comp_LT_Busway_Temp_LL_T","DIGITAL","LW_Sub1_CLX","LW_SS01_Comp.LT_BUSWAY.LowLowAlarm","","","","","","","LT Busway Compartment RTD - Low Low Level Alarm","LW1_Cl","LW1.Sub1","","","","","","LW903 Sub1","LT Busway Compartment RTD","Alm_Trip","","","","","","","3b279981-4e3b-487c-829f-6c34364471d4","","","0x0012d430","",""
"LW_Sub1_Comp_LT_Busway_Temp_OOS","DIGITAL","LW_Sub1_CLX","LW_SS01_Comp.LT_BUSWAY.OOS","","","","","","","LT Busway Compartment RTD - Out of Service","LW1_Cl","LW1.Sub1","","","","","","LW903 Sub1","LT Busway Compartment RTD","","","","","","","","8f064a17-606e-4297-30a3-30cda1739c79","","","0x0012d3e0","",""
"LW_Sub1_Comp_LT_Busway_Temp_PV","REAL","LW_Sub1_CLX","LW_SS01_Comp.LT_BUSWAY.PV","0.0","100.0","0.0","100.0","^0xb0C","#EU","LT Busway Compartment RTD - Process Variable","LW1_Cl","LW1.Sub1","","","","","","LW903 Sub1","LT Busway Compartment RTD","","1","","","","","","ef1e9845-0f42-4590-6787-9878dbd4567f","","","0x0012d3d0","",""
"LW_Sub1_Comp_LT_Face_Control_Temp_ChFlt_T","DIGITAL","LW_Sub1_CLX","LW_SS01_Comp.LT_FACE_CONT.Offscale","","","","","","","LT Face Control Compartment RTD - Channel Fault","LW1_Cl","LW1.Sub1","","","","","","LW903 Sub1","LT Face Control Compartment RTD","Alm_Trip","","","","","","","7f14895b-b2f5-4b0a-99ad-62badcfce8ff","","","0x0012d380","",""
"LW_Sub1_Comp_LT_Face_Control_Temp_H_SP","REAL","LW_Sub1_CLX","LW_SS01_Comp.LT_FACE_CONT.HighSP","0.0","100.0","0.0","100.0","^0xb0C","#EU","LT Face Control Compartment RTD - High level Setpoint","LW1_Cl","LW1.Sub1","","","","","","LW903 Sub1","LT Face Control Compartment RTD","","600","","","","","","36b002db-72b0-45d6-57a7-fc9757fc97b4","","","0x0012d362","",""
"LW_Sub1_Comp_LT_Face_Control_Temp_H_W","DIGITAL","LW_Sub1_CLX","LW_SS01_Comp.LT_FACE_CONT.HighAlarm","","","","","","","LT Face Control Compartment RTD - High Level Alarm","LW1_Cl","LW1.Sub1","","","","","","LW903 Sub1","LT Face Control Compartment RTD","Alm_Warning","","","","","","","b44b0d13-81d9-48f4-f4bc-46e8f15626df","","","0x0012d3a0","",""
"LW_Sub1_Comp_LT_Face_Control_Temp_HH_SP","REAL","LW_Sub1_CLX","LW_SS01_Comp.LT_FACE_CONT.HighHighSP","0.0","100.0","0.0","100.0","^0xb0C","#EU","LT Face Control Compartment RTD - High High Level Setpoint","LW1_Cl","LW1.Sub1","","","","","","LW903 Sub1","LT Face Control Compartment RTD","","600","","","","","","e75f4f4c-a8d1-4484-1e8b-55dd8378e8b9","","","0x0012d361","",""
"LW_Sub1_Comp_LT_Face_Control_Temp_HH_T","DIGITAL","LW_Sub1_CLX","LW_SS01_Comp.LT_FACE_CONT.HighHighAlarm","","","","","","","LT Face Control Compartment RTD - High High Level Alarm","LW1_Cl","LW1.Sub1","","","","","","LW903 Sub1","LT Face Control Compartment RTD","Alm_Trip","","","","","","","c16319b8-ab09-48b5-1884-44be330c96fe","","","0x0012d390","",""
"LW_Sub1_Comp_LT_Face_Control_Temp_L_SP","REAL","LW_Sub1_CLX","LW_SS01_Comp.LT_FACE_CONT.LowSP","0.0","100.0","0.0","100.0","^0xb0C","#EU","LT Face Control Compartment RTD - Low Level Setpoint","LW1_Cl","LW1.Sub1","","","","","","LW903 Sub1","LT Face Control Compartment RTD","","600","","","","","","30e1de18-e424-41ce-e1bb-ade0511f3719","","","0x0012d363","",""
"LW_Sub1_Comp_LT_Face_Control_Temp_L_W","DIGITAL","LW_Sub1_CLX","LW_SS01_Comp.LT_FACE_CONT.LowAlarm","","","","","","","LT Face Control Compartment RTD - Low Level Alarm","LW1_Cl","LW1.Sub1","","","","","","LW903 Sub1","LT Face Control Compartment RTD","Alm_Warning","","","","","","","e95c7fbf-f9b4-4103-f5bb-0c4a1fd57c04","","","0x0012d3b0","",""
